year,artist
2020,King & Prince
2020,Foorin
2020,山内惠介
2020,milet
2020,日向坂46
2020,櫻坂46
2020,Hey!Say!JUMP
2020,Little Glee Monster
2020,SixTONES
2020,水森かおり
2020,GENERATIONS
2020,純烈
2020,坂本冬美
2020,Kis-My-Ft2
2020,天童よしみ
2020,乃木坂46
2020,鈴木雅之
2020,五木ひろし
2020,NiziU
2020,瑛人
2020,Perfume
2020,BABYMETAL
2020,郷ひろみ
2020,JUJU
2020,LiSA
2020,Official髭男dism
2020,三山ひろし
2020,YOASOBI
2020,関ジャニ∞
2020,東京事変
2020,ゆず
2020,あいみょん
2020,Superfly
2020,Mr.Children
2020,石川さゆり
2020,星野源
2020,氷川きよし
2020,松田聖子
2020,福山雅治
2020,MISIA
2021,LiSA
2021,郷ひろみ
2021,DISH//
2021,NiziU
2021,山内惠介
2021,櫻坂46
2021,Awesome City Club
2021,GENERATIONS
2021,日向坂46
2021,純烈
2021,SixTONES
2021,天童よしみ
2021,KAT-TUN
2021,上白石萌音
2021,King & Prince
2021,milet
2021,まふまふ
2021,水森かおり
2021,Snow Man
2021,AI
2021,関ジャニ∞
2021,BiSH
2021,三山ひろし
2021,平井大
2021,Perfume
2021,millennium parade
2021,中村佳穂
2021,宮本浩次
2021,乃木坂46
2021,坂本冬美
2021,藤井風
2021,YOASOBI
2021,鈴木雅之
2021,ゆず
2021,星野源
2021,あいみょん
2021,BUMP OF CHICKEN
2021,東京事変
2021,薬師丸ひろ子
2021,石川さゆり
2021,氷川きよし
2021,布袋寅泰
2021,福山雅治
2021,MISIA
2022,SixTONES
2022,天童よしみ
2022,緑黄色社会
2022,郷ひろみ
2022,なにわ男子
2022,水森かおり
2022,LE SSERAFIM
2022,Saucy Dog
2022,山内惠介
2022,日向坂46
2022,JO1
2022,milet
2022,NiziU
2022,鈴木雅之
2022,BE:FIRST
2022,SEKAI NO OWARI
2022,三浦大知
2022,IVE
2022,Snow Man
2022,Perfume
2022,Aimer
2022,坂本冬美
2022,ウタ
2022,King Gnu
2022,三山ひろし
2022,TWICE
2022,Vaundy
2022,幾田りら
2022,純烈
2022,ダチョウ倶楽部
2022,有吉弘行
2022,乃木坂46
2022,工藤静香
2022,King & Prince
2022,Official髭男dism
2022,あいみょん
2022,Superfly
2022,藤井風
2022,篠原涼子
2022,ゆず
2022,関ジャニ∞
2022,星野源
2022,KinKi Kids
2022,石川さゆり
2022,MISIA
2022,福山雅治
2023,新しい学校のリーダーズ
2023,JO1
2023,鈴木雅之
2023,Stray Kids
2023,Perfume
2023,すとぷり
2023,天童よしみ
2023,キタニタツヤ
2023,緑黄色社会
2023,櫻坂46
2023,純烈
2023,ano
2023,BE:FIRST
2023,JUJU
2023,NiziU
2023,LE SSERAFIM
2023,山内惠介
2023,乃木坂46
2023,郷ひろみ
2023,milet
2023,MAN WITH A MISSION
2023,SEVENTEEN
2023,水森かおり
2023,大泉洋
2023,Mrs. GREEN APPLE
2023,坂本冬美
2023,MISAMO
2023,10-FEET
2023,Official髭男dism
2023,椎名林檎
2023,ゆず
2023,三山ひろし
2023,星野源
2023,Superfly
2023,伊藤蘭
2023,Ado
2023,エレファントカシマシ
2023,あいみょん
2023,さだまさし
2023,石川さゆり
2023,藤井フミヤ
2023,YOASOBI
2023,福山雅治
2023,MISIA
2024,ME:I
2024,天童よしみ
2024,こっちのけんと
2024,Omoinotake
2024,Da-iCE
2024,ILLIT
2024,緑黄色社会
2024,新浜レオン
2024,櫻坂46
2024,JO1
2024,山内惠介
2024,HY
2024,乃木坂46
2024,純烈
2024,LE SSERAFIM
2024,tuki.
2024,BE:FIRST
2024,TOMORROW X TOGETHER
2024,水森かおり
2024,aiko
2024,郷ひろみ
2024,Creepy Nuts
2024,GLAY
2024,坂本冬美
2024,Vaundy
2024,椎名林檎
2024,もも
2024,星野源
2024,Superfly
2024,TWICE
2024,Number_i
2024,藤井風
2024,三山ひろし
2024,あいみょん
2024,南こうせつ
2024,イルカ
2024,西野カナ
2024,Mrs. GREEN APPLE
2024,THE ALFEE
2024,髙橋真梨子
2024,石川さゆり
2024,福山雅治
2024,MISIA
